frameNumber,hitIndex,station,layer,ladder,chip,pixel_x,pixel_y
2,147993304,0,3,7,11,50,34
2,149788903,0,3,8,6,152,19
2,149876268,0,3,8,7,238,206
2,151794454,0,3,9,5,51,228
2,151893877,0,3,9,6,183,133
2,151905868,0,3,9,6,230,174
2,151924199,0,3,9,7,45,19
2,152031959,0,3,9,8,210,35
2,152201182,0,3,9,11,103,28
2,152476629,0,3,9,15,155,37
2,153735462,0,3,10,2,209,212
2,153840558,0,3,10,4,107,76
2,153898757,0,3,10,5,79,245
2,153945494,0,3,10,6,5,100
2,153961793,0,3,10,6,69,185
2,154055126,0,3,10,7,177,36
2,154077041,0,3,10,8,7,137
2,154121445,0,3,10,8,180,21
2,154158499,0,3,10,9,69,87
2,154268804,0,3,10,10,244,118
2,154397872,0,3,10,12,236,74
2,155995633,0,3,11,5,77,9
2,156147415,0,3,11,7,158,35
2,160162108,0,3,13,4,225,190
2,160363553,0,3,13,7,244,217
2,160471687,0,3,13,9,154,115
2,160619645,0,3,13,11,220,125
2,160659382,0,3,13,12,119,68
2,160878970,0,3,13,15,209,128
2,162010405,0,3,14,1,21,213
2,166943976,0,3,16,12,92,18
2,167101585,0,3,16,14,196,105
2,168777111,0,3,17,8,85,99
2,168916823,0,3,17,10,119,163
2,173234508,0,3,19,12,89,174
2,177222803,0,3,21,9,52,103
2,183591021,0,3,24,10,96,141
2,183629686,0,3,24,10,247,132
2,183633020,0,3,24,11,4,126
2,183740675,0,3,24,12,169,247
2,202578121,0,4,1,13,24,49
2,204178948,0,4,2,5,134,246
2,204225966,0,4,2,6,61,76
2,204316982,0,4,2,7,161,196
2,204347075,0,4,2,8,22,55
2,204373302,0,4,2,8,125,196
2,204451796,0,4,2,9,175,38
2,204505014,0,4,2,10,127,68
2,204828208,0,4,2,15,110,202
2,206055780,0,4,3,2,41,150
2,206276341,0,4,3,5,134,5
2,206868847,0,4,3,14,145,139
2,206880739,0,4,3,14,191,23
2,208315024,0,4,4,4,162,106
2,208695254,0,4,4,10,111,36
2,211088425,0,4,5,14,244,209
2,212352341,0,4,6,2,61,165
2,212669645,0,4,6,7,20,45
2,212698348,0,4,6,7,132,14
2,212756882,0,4,6,8,105,104
2,213145566,0,4,6,14,87,28
2,213188013,0,4,6,14,253,77
2,215029484,0,4,7,11,22,14
2,215251346,0,4,7,14,121,104
2,215262390,0,4,7,14,164,68
2,215344667,0,4,7,15,230,223
2,215451797,0,4,7,17,136,101
2,216869957,0,4,8,7,44,181
2,216998507,0,4,8,9,34,143
2,217160092,0,4,8,11,153,94
2,218942622,0,4,9,6,204,92
2,218998550,0,4,9,7,167,228
2,219095082,0,4,9,9,32,208
2,219264588,0,4,9,11,182,174
2,219528213,0,4,9,15,188,229
2,221064114,0,4,10,7,43,72
2,221085540,0,4,10,7,127,150
2,221085796,0,4,10,7,128,150
2,221121956,0,4,10,8,13,86
2,221132309,0,4,10,8,54,229
2,221202980,0,4,10,9,74,214
2,221205373,0,4,10,9,83,125
2,221389652,0,4,10,12,35,166
2,221571168,0,4,10,14,232,154
2,221690686,0,4,10,16,187,188
2,221837322,0,4,10,18,248,240
2,223016050,0,4,11,4,244,136
2,223066309,0,4,11,5,184,53
2,223121994,0,4,11,6,146,176
2,223203422,0,4,11,7,208,156
2,223252518,0,4,11,8,144,212
2,223324535,0,4,11,9,169,131
2,223335750,0,4,11,9,213,180
2,223441698,0,4,11,11,115,216
2,223511926,0,4,11,12,133,132
2,223568721,0,4,11,13,99,169
2,223691864,0,4,11,15,68,162
2,223805298,0,4,11,16,255,136
2,223935473,0,4,11,18,251,9
2,223936490,0,4,11,18,255,16
2,225022548,0,4,12,3,146,166
2,225183410,0,4,12,6,6,72
2,225328241,0,4,12,8,60,137
2,231416144,0,4,15,5,33,170
2,231618119,0,4,15,8,54,179
2,231748017,0,4,15,10,49,73
2,231938788,0,4,15,13,26,22
2,234053329,0,4,16,13,94,41
2,235420273,0,4,17,2,58,137
2,238243245,0,4,18,13,77,77
2,242132858,0,4,20,8,167,128
2,242278235,0,4,20,10,223,159
2,242624491,0,4,20,16,39,15
2,246378303,0,4,22,9,111,187
2,248769174,0,4,23,13,234,100
2,252664046,0,4,25,9,88,12
2,254334700,0,4,26,2,214,14
2,259056722,0,4,28,10,228,168
2,259095903,0,4,28,11,125,155
2,259113249,0,4,28,11,193,217
2,408294626,1,3,3,15,20,24
2,413969256,1,3,6,5,171,146
2,414426911,1,3,6,12,167,219
2,418154856,1,3,8,5,137,146
2,437139060,1,3,17,7,54,134
2,437334835,1,3,17,10,51,199
2,451720507,1,3,24,5,181,191
2,473283334,1,4,2,15,187,244
2,475380467,1,4,3,15,186,7
2,483621203,1,4,7,13,121,167
2,498649801,1,4,14,18,202,49
2,510527178,1,4,20,8,6,48
